session_date,n_runs,n_pairs,duration_h,applied_tau_s,abs_speed_max,motion_fraction,signal_power_mean,signal_power_std,signal_quality_mean,ping_mean,ping_p95,x_min,x_max,y_min,y_max
15.03.2026,4,280025,3.190044063395833,0.25041757454765057,0.5998479,0.3763128292116775,-36.90656638704079,10.51651234689542,67.05066120985512,16.845595824539224,27.39,-0.7735803,28.94952,-6.567976,13.36438
24.03.2026,3,168940,1.934679850141111,0.43241691254766534,0.649197,0.3933289925417308,-39.66097431040606,7.353826886276167,66.97142772581982,17.492755126080265,32.622,8.291289,21.59294,-2.412303,5.531183
25.02.2026,1,232628,2.7473725748061115,0.8788033262114393,0.2994985,0.6130646353835308,-31.07022370479908,6.221469962913623,69.77523341988066,16.133615416029023,21.78,-3.356241,-1.740279,-0.008354016,17.27598
